Date,Open,High,Low,Close,Adj Close,Volume
2021-05-11,46.315533,48.827301,44.698757,48.754765,48.754765,2581226882
2021-05-12,48.840717,49.789948,41.03371,41.03371,41.03371,2464290551
2021-05-13,41.675198,44.919903,39.617897,43.089832,43.089832,3419085326
2021-05-14,43.232296,47.722412,42.984787,46.546902,46.546902,2249865292
2021-05-15,46.547932,47.791073,41.100246,41.498314,41.498314,2721945963
2021-05-16,41.424679,44.614105,37.962086,40.737148,40.737148,2323419857
2021-05-17,40.695702,40.695702,35.244755,37.194439,37.194439,2528181082
2021-05-18,37.102032,44.686508,36.796474,42.545315,42.545315,2918047922
2021-05-19,42.637829,43.502365,21.267706,26.70196,26.70196,5200872150
2021-05-20,26.327194,33.005283,22.650379,30.781229,30.781229,3689669181
2021-05-21,30.683167,31.991604,22.121494,25.577578,25.577578,2821780834
2021-05-22,25.604004,26.211683,22.397274,23.292158,23.292158,2086100617
2021-05-23,23.325203,24.390322,15.088673,20.008373,20.008373,3660888535
2021-05-24,19.874529,26.424175,19.792852,26.362959,26.362959,3012097212
2021-05-25,26.370483,27.629839,23.782351,27.629839,27.629839,2430723622
2021-05-26,27.547812,34.203735,26.897709,33.984875,33.984875,3238551222
2021-05-27,33.978294,35.344086,30.160318,31.514713,31.514713,3009160091
2021-05-28,31.657593,32.170086,26.944206,27.951693,27.951693,3119953263
2021-05-29,27.91116,29.605017,24.15773,25.39864,25.39864,2160750314
2021-05-30,25.363482,29.059591,23.835342,26.869602,26.869602,2131449890
2021-05-31,26.83411,32.088585,25.611696,32.088585,32.088585,2610739303
2021-06-01,32.116852,32.628273,29.16427,30.699013,30.699013,1987644783
2021-06-02,30.720299,32.113537,29.69301,30.656301,30.656301,1436895951
2021-06-03,30.692738,32.868458,30.132158,32.190559,32.190559,1438073374
2021-06-04,32.204102,32.204102,27.32081,28.875753,28.875753,2066403597
2021-06-05,28.851757,30.152372,26.117586,27.126797,27.126797,1471383889
2021-06-06,27.132959,28.137695,26.849649,27.551577,27.551577,844390913
2021-06-07,27.544827,28.694122,24.337969,24.52721,24.52721,1350784356
2021-06-08,24.59314,25.094419,21.449362,24.174898,24.174898,1934263191
2021-06-09,24.106907,25.639242,22.518564,25.569342,25.569342,1648653604
2021-06-10,25.589344,25.743193,22.810511,23.100679,23.100679,1193159733
2021-06-11,23.1192,23.367527,21.038067,21.478968,21.478968,1088965649
2021-06-12,21.482792,22.293997,20.050198,21.686546,21.686546,1247246126
2021-06-13,21.697639,23.850052,20.460571,23.337601,23.337601,1327698302
2021-06-14,23.317707,25.208834,22.933525,23.860899,23.860899,1329108017
2021-06-15,25.468372,26.435877,24.464281,26.084227,26.084227,1606249957
2021-06-16,24.504099,24.633604,22.925234,23.015078,23.015078,1151075162
2021-06-17,23.034704,24.433029,22.860382,23.356791,23.356791,863470684
2021-06-18,23.391653,23.394974,20.616882,21.211151,21.211151,1115868666
2021-06-19,21.249214,21.941313,20.293961,20.423983,20.423983,800704738
2021-06-20,20.325836,22.059296,19.147449,21.735416,21.735416,1081292352
2021-06-21,21.66713,21.849558,17.014158,17.424097,17.424097,1950854619
2021-06-22,17.384541,18.756935,15.032353,16.806492,16.806492,2148014388
2021-06-23,16.840994,19.147215,16.207232,18.387203,18.387203,1526785668
2021-06-24,18.391554,19.504133,17.385279,19.037357,19.037357,905107228
2021-06-25,19.051491,19.472569,16.835096,16.930967,16.930967,1099374748
2021-06-26,16.897558,17.485468,15.957306,16.955221,16.955221,956999857
2021-06-27,16.969868,18.367485,16.62808,18.344139,18.344139,805522371
2021-06-28,18.381657,19.406273,17.931026,18.773989,18.773989,925374430
